Year,Country,Temperature,Precipitation_mm,Production.t,Area.Harvested,Yield,Continent,Region
2000,Brazil,21.359273695054945,3.77189217032967,1903562.0,2267968,8393,Americas,Latin America & Caribbean
2000,China,18.909285714285716,4.507747252747253,11568.0,9600,12050,Asia,East Asia & Pacific
2000,Colombia,19.979938186813186,8.185755494505495,637140.0,675342,9434,Americas,Latin America & Caribbean
2000,Ethiopia,20.826438873626373,3.225618131868132,229980.0,250000,9199,Africa,Sub-Saharan Africa
2000,Guatemala,19.08205128205128,3.754267399267399,312060.0,273000,11431,Americas,Latin America & Caribbean
2000,Honduras,22.603452380952383,3.5328479853479853,193309.0,210769,9172,Americas,Latin America & Caribbean
2000,Mexico,26.287156593406593,5.87554945054945,338170.0,701326,4822,Americas,Latin America & Caribbean
2000,Peru,21.475274725274726,2.1333791208791206,191651.0,264492,7246,Americas,Latin America & Caribbean
2001,Brazil,22.10259589041096,3.3128253424657537,1819569.0,2336031,7789,Americas,Latin America & Caribbean
2001,China,19.283136986301372,5.22868493150685,17202.0,14600,11782,Asia,East Asia & Pacific
2001,Colombia,20.91078082191781,5.516739726027397,656160.0,704846,9309,Americas,Latin America & Caribbean
2001,Ethiopia,20.815770547945206,3.221308219178082,157155.0,243834,6445,Africa,Sub-Saharan Africa
2001,Guatemala,19.527652968036527,3.7493972602739727,261096.84,262296,9954,Americas,Latin America & Caribbean
2001,Honduras,24.167579908675798,1.7370867579908675,205545.0,216562,9491,Americas,Latin America & Caribbean
2001,Mexico,26.549082191780823,5.843232876712329,302996.0,747416,4054,Americas,Latin America & Caribbean
2001,Peru,22.24519178082192,1.6177260273972605,196232.0,274252,7155,Americas,Latin America & Caribbean
2002,Brazil,22.194609589041097,3.503736301369863,2610524.0,2370891,11011,Americas,Latin America & Caribbean
2002,China,19.168876712328768,4.668301369863014,19456.0,15600,12472,Asia,East Asia & Pacific
2002,Colombia,21.034191780821917,5.3311232876712324,696840.0,710510,9808,Americas,Latin America & Caribbean
2002,Ethiopia,21.41542123287671,3.092582191780822,160000.0,218000,7339,Africa,Sub-Saharan Africa
2002,Guatemala,19.807648401826484,4.229689497716895,255091.28,262016,9736,Americas,Latin America & Caribbean
2002,Honduras,23.9402602739726,2.637643835616438,172727.0,204490,8447,Americas,Latin America & Caribbean
2002,Mexico,26.905575342465752,6.309479452054795,313027.0,724558,4320,Americas,Latin America & Caribbean
2002,Peru,22.51154794520548,1.5304657534246575,212770.0,287379,7404,Americas,Latin America & Caribbean
2003,Brazil,21.672010273972603,3.42761301369863,1987074.0,2395501,8295,Americas,Latin America & Caribbean
2003,China,19.389164383561646,3.590602739726027,23144.0,16000,14465,Asia,East Asia & Pacific
2003,Colombia,20.842181506849315,5.301280821917808,694080.0,721362,9622,Americas,Latin America & Caribbean
2003,Ethiopia,21.876972602739727,2.6728493150684933,126188.0,232439,5429,Africa,Sub-Saharan Africa
2003,Guatemala,19.749566210045664,3.7965570776255704,244200.0,247339,9873,Americas,Latin America & Caribbean
2003,Honduras,24.040205479452055,2.6561004566210045,175284.0,228438,7673,Americas,Latin America & Caribbean
2003,Mexico,26.703630136986302,6.882410958904109,310861.0,742837,4185,Americas,Latin America & Caribbean
2003,Peru,22.738698630136987,1.300904109589041,203148.0,291844,6961,Americas,Latin America & Caribbean
2004,Brazil,20.989267418032785,4.306608606557377,2465710.0,2368040,10412,Americas,Latin America & Caribbean
2004,China,19.055983606557376,3.9556830601092896,21659.0,12000,18049,Asia,East Asia & Pacific
2004,Colombia,20.603101092896175,4.679364754098361,674400.0,771219,8745,Americas,Latin America & Caribbean
2004,Ethiopia,21.594282786885245,2.739945355191257,156170.0,260201,6002,Africa,Sub-Saharan Africa
2004,Guatemala,19.633265027322405,4.526621129326047,250279.0,247339,10119,Americas,Latin America & Caribbean
2004,Honduras,23.909025500910747,2.3648633879781418,185090.0,236376,7830,Americas,Latin America & Caribbean
2004,Mexico,26.76814207650273,6.075655737704918,312413.0,760581,4108,Americas,Latin America & Caribbean
2004,Peru,22.825887978142074,1.2705737704918032,231447.0,295139,7842,Americas,Latin America & Caribbean
2005,Brazil,21.592857876712326,3.8547054794520546,2140169.0,2325920,9201,Americas,Latin America & Caribbean
2005,China,19.683616438356164,3.943013698630137,21919.0,15500,14141,Asia,East Asia & Pacific
2005,Colombia,20.961931506849314,4.483554794520548,667140.0,806884,8268,Americas,Latin America & Caribbean
2005,Ethiopia,21.2807397260274,3.1621301369863013,171631.0,261175,6571,Africa,Sub-Saharan Africa
2005,Guatemala,19.625945205479454,6.209497716894977,248277.0,247339,10038,Americas,Latin America & Caribbean
2005,Honduras,23.751118721461186,2.8273150684931507,190640.0,238455,7995,Americas,Latin America & Caribbean
2005,Mexico,26.71190410958904,9.150383561643835,294364.0,762261,3862,Americas,Latin America & Caribbean
2005,Peru,23.920684931506848,0.44989041095890414,188611.0,301534,6255,Americas,Latin America & Caribbean
2006,Brazil,21.438119863013696,3.801969178082192,2573368.0,2312157,11130,Americas,Latin America & Caribbean
2006,China,19.581753424657535,3.9840821917808222,25655.0,14400,17816,Asia,East Asia & Pacific
2006,Colombia,20.55143493150685,4.808739726027397,724740.0,785535,9226,Americas,Latin America & Caribbean
2006,Ethiopia,20.63458904109589,5.434753424657534,241482.0,295238,8179,Africa,Sub-Saharan Africa
2006,Guatemala,19.45813698630137,3.693799086757991,240331.38,247339,9717,Americas,Latin America & Caribbean
2006,Honduras,24.05799086757991,2.232173515981735,213636.0,250012,8545,Americas,Latin America & Caribbean
2006,Mexico,26.58223287671233,6.621452054794521,279635.0,763418,3663,Americas,Latin America & Caribbean
2006,Peru,23.517342465753423,0.7057260273972602,273178.0,321449,8498,Americas,Latin America & Caribbean
2007,Brazil,21.947265410958902,2.9192876712328766,2249011.0,2264129,9933,Americas,Latin America & Caribbean
2007,China,19.067630136986303,4.077123287671233,26000.0,15110,17207,Asia,East Asia & Pacific
2007,Colombia,20.950092465753425,2.9819246575342464,757080.0,797660,9491,Americas,Latin America & Caribbean
2007,Ethiopia,20.0875102739726,5.166739726027397,273400.0,407147,6715,Africa,Sub-Saharan Africa
2007,Guatemala,19.67807305936073,3.6425844748858447,248613.98,248597,10001,Americas,Latin America & Caribbean
2007,Honduras,23.466050228310504,3.2157534246575343,236302.0,239000,9887,Americas,Latin America & Caribbean
2007,Mexico,26.535753424657532,6.310082191780822,268565.0,772036,3479,Americas,Latin America & Caribbean
2007,Peru,23.031000000000002,1.357123287671233,225992.0,324062,6974,Americas,Latin America & Caribbean
2008,Brazil,21.555162226775956,3.87556693989071,2796927.0,2222224,12586,Americas,Latin America & Caribbean
2008,China,18.95476775956284,4.437704918032787,33278.0,16280,20441,Asia,East Asia & Pacific
2008,Colombia,20.26647199453552,4.324760928961749,688680.0,732656,9400,Americas,Latin America & Caribbean
2008,Ethiopia,20.39717554644809,4.229515027322405,260239.0,391296,6651,Africa,Sub-Saharan Africa
2008,Guatemala,19.249959016393444,4.083652094717669,254914.38,248597,10254,Americas,Latin America & Caribbean
2008,Honduras,22.816461748633877,4.03884335154827,240948.0,242000,9957,Americas,Latin America & Caribbean
2008,Mexico,26.36489071038251,6.132677595628415,260442.0,766984,3396,Americas,Latin America & Caribbean
2008,Peru,22.36301912568306,1.5676229508196722,273780.0,333388,8212,Americas,Latin America & Caribbean
2009,Brazil,21.651763698630138,4.03508904109589,2440056.0,2135508,11426,Americas,Latin America & Caribbean
2009,China,19.336657534246577,3.8282191780821915,70405.0,22530,31249,Asia,East Asia & Pacific
2009,Colombia,20.8873698630137,4.219198630136986,468720.0,765345,6124,Americas,Latin America & Caribbean
2009,Ethiopia,20.819832191780822,4.159335616438356,265469.0,395003,6721,Africa,Sub-Saharan Africa
